url,sid1,news_title,news_desc,date
https://n.news.naver.com/mnews/article/020/0003491064?sid=102,102,“이재민 돕겠다” 자원봉사 신청 쇄도… 기업들 성금 기부,강릉시 교동에서 애견 관련 사업을 준비 중이던 정환서 씨(38)는 개업을 잠시 미루고 반려동물 대피소를 열었다. 정 씨는 “직업군인으로 일하다 지난해 전역했는데 군대에서 산불 진화 작업을 많이 나가 현장의 처참함을...,10시간 전
https://n.news.naver.com/mnews/article/081/0003353468?sid=102,102,"경북도, 관상어 산업 육성 박차…전국 첫 관상어 비즈니스센터 건립",하지만 국내 산업은 5000억원에 불과한 실정이다 관상어는 개·고양이 다음으로 많은 인구가 반려동물로 키우는 3대 애완동물에 포함된다. 이달희 경북도 경제부지사는 “비즈니스센터 건립으로 경북은 국내 관상어 산업...,3시간 전
https://n.news.naver.com/mnews/article/018/0005462515?sid=101,101,"노바마루, 실속형 강마루 '뉴트로(NEWTRO)' 시리즈 출시",(사진=노바마루) 뉴트로는 제품 표면에 높은 온도와 압력으로 압축시킨 고강도 HPM 표면 보호층을 적용해 생활 스크래치나 찍힘에 강하여 어린아이나 반려동물을 키우는 가정도 안심하고 시공할 수 있다. 노바마루의...,3시간 전
https://n.news.naver.com/mnews/article/421/0006745063?sid=100,100,"김민석, 尹 방미에 ""도청 문제 美 정중한 사과 받아야""","그는 ""개 식용 문제에 획을 그을 때""라며 ""반려동물시대, 한류시대고 부산엑스포 추진 및 대형 국제행사가 줄을 잇는 상황""이라고 지적했다. 이어 ""손흥민 선수에 대한 차별, 야유의 소재가 된 빌미도 근절해야 한다""며...",3시간 전
https://n.news.naver.com/mnews/article/030/0003090957?sid=101,101,"뉴패러다임인베스트먼트, 2023 뉴패러다임 얼라이언스 기술·사업 세미나 성료","뉴패러다임은 정보통신기술(ICT), 반려동물, 디지털 헬스케어, 메타버스 등에 투자하는 액셀러레이터다. 유망 테크 스타트업 15개사 선발·초기 투자와 팁스 선정, 최대 10개 기업 후속 투자 참여 등 매년 약 100억원을...",2시간 전
https://n.news.naver.com/mnews/article/016/0002129703?sid=102,102,"대구보건대, DHC 펫케어 일자리 사업단 발대식 개최","남성희 총장은 ""북구에 국토교통부 지역특화 도시재생사업으로 반려동물 친화마을이 조성돼 반려동물 브랜드화 사업이 시행될 예정이어서 이번 발족이 중요하다""며 ""펫 산업에 필요한 맞춤형 인재를 양성하고 지역산업과...",4시간 전
https://n.news.naver.com/mnews/article/018/0005462389?sid=101,101,"진시스템, 인도 결핵 진단키드·장비 수출로 올해 흑자전환 '유력'",진시스템은 진단키트 장비와 키트를 관계사인 케어뱃에 납품하고 케어벳은 반려동물 진단키트를 개발해 동물병원에 유통하는 구조로 사업을 진행하고 있다. 진시스템은 최근 정기 주주총회를 통해 신규 사업 목적도...,5시간 전
https://n.news.naver.com/mnews/article/021/0002566385?sid=102,102,"나노산업·농촌휴양단지 엔진으로… 밀양, 소멸위기 딛고 재도약[로컬인사이드...","호텔이 완공되면 이곳을 찾는 관광객은 반려동물을 센터에 맡기고 호텔에 머물며 골프와 요가, 영남알프스를 둘러보는 산악관광을 즐길 수 있다. 주요 시설로는 테마공원, 국제웰니스토리타운(요가), 스포츠파크...",4시간 전
https://n.news.naver.com/mnews/article/087/0000963959?sid=102,102,“우리는 예술가입니다. 단 MZ를 곁들인…”,"전시의 타이틀이기도 한 ‘믹싱보울’은 순수와 상업의 경계를 허무는 다양한 작업들과 반려동물, 반려식물 등 포스트휴머니즘의 시대에 걸 맞는 무해한 아름다움 등을 혼합한 그릇을 이야기한다. 이처럼 무엇이든 담을...",13시간 전
https://n.news.naver.com/mnews/article/382/0001045082?sid=102,102,김순호 구례군수 “지리산·섬진강 활용한 체류형 관광구례 만들 것”,"또 침체된 지리산온천권역을 되살리기 위해 “온천호텔·골프장 등 민자 휴양시설을 유치하고, 헬스케어·뷰티·반려동물과 연계한 융복합 사업을 추진할 것이다. 지리산정원의 경우 짚라인과 더불어 하늘정원, 별빛숲정원...",3시간 전
https://n.news.naver.com/mnews/article/421/0006745541?sid=100,100,"외부 일정 늘리는 김 여사 ""행사 소박하게""…방미 준비 尹 뒷받침","개 식용 금지는 윤 대통령이 대선 후보 시절 내걸었던 공약이며, 국정과제에도 '사람과 동물이 모두 함께 행복한 건전한 반려 문화 조성'이 포함됐다. 대통령실 관계자는 김 여사가 국정과제 지원 행보를 이어가는 것과...",2시간 전
https://n.news.naver.com/mnews/article/117/0003718386?sid=103,103,"폴리파크, 유한양행 윌로펫 등 펫브랜드 전 상품 취급","반려동물용품 전문점 폴리파크는 유한양행 펫 관련 전 상품을 이달 론칭하고 프로모션을 전개한다고 13일 밝혔다. 폴리파크는 매장 내 ‘유한양행 패밀리 존’을 마련하고 반려 견 소프트사료, 건사료 및 다이어트용...",4시간 전
