subway_name,station_name,elevator,escalator,horizontal_walker,wheelchair_lift,Movable_safety_footrest,electric_wheelchair_rapid_charger,Disabled_toilets,voice_guides,sign_language_video_cellphone
5,송정,4,4,0,0,1,0,1,17,0
5,마곡,6,12,0,0,0,0,1,23,0
5,발산,3,0,0,0,2,0,1,17,0
5,우장산,3,4,0,0,1,0,1,16,0
5,화곡,2,4,0,0,1,0,1,16,0
5,까치산,2,12,0,3,0,0,1,21,0
5,신정,2,10,0,0,1,0,1,21,0
5,목동,3,4,0,0,1,0,1,15,0
5,오목교,3,10,0,0,1,0,1,30,0
5,양평,3,8,0,0,1,0,1,19,0
5,영등포구청,4,14,0,2,1,0,1,24,1
5,영등포시장,3,8,0,0,2,0,1,22,0
5,신길,6,9,0,0,1,0,1,21,0
5,여의도,2,4,0,0,1,0,1,26,0
5,여의나루,3,11,0,0,1,0,1,11,0
5,마포,2,10,0,0,1,0,1,14,0
5,공덕,2,11,0,0,1,1,1,24,0
5,애오개,5,6,0,0,1,1,1,19,0
5,충정로,2,4,0,0,1,1,1,16,0
5,서대문,3,10,0,1,1,1,1,16,0
5,광화문,2,4,0,0,1,1,1,23,0
5,종로3가,1,10,0,1,0,0,1,22,1
5,을지로4가,1,11,0,0,1,0,1,20,0
5,"동대문역사
문화공원",2,5,0,2,1,0,1,16,1
5,청구,0,0,0,0,1,0,0,7,0
5,신금호,3,12,0,0,1,1,1,13,0
5,행당,3,8,0,0,1,0,1,22,0
5,왕십리,3,8,0,0,2,0,1,21,1
5,마장,3,4,0,0,0,1,1,17,0
5,답십리,4,4,0,1,1,1,1,23,0
5,장한평,3,4,0,1,0,1,1,15,0
5,군자,3,8,0,0,1,0,1,12,0
5,아차산,3,8,0,0,1,1,1,20,0
5,광나루,4,4,0,1,2,1,1,20,0
5,천호,4,16,0,0,1,0,1,19,1
5,강동,2,10,0,2,0,0,1,21,0
5,길동,3,3,0,0,0,0,1,15,0
5,굽은다리,3,4,0,0,1,0,1,19,0
5,명일,3,2,0,0,2,0,1,13,0
5,고덕,4,6,0,0,0,0,1,17,0
5,상일동,4,16,0,2,0,0,1,19,0
5,둔촌동,3,4,0,0,0,1,1,14,0
5,올림픽공원,3,4,0,0,0,1,1,17,0
5,방이,4,2,0,0,0,0,1,17,0
5,오금,5,7,0,0,0,0,1,18,0
5,개롱,3,2,0,0,0,0,1,14,0
5,거여,3,2,0,0,1,0,1,19,0
5,마천,2,10,0,1,0,1,1,10,0
5,강일,8,16,0,0,0,0,2,41,0
5,미사,4,22,0,0,0,0,2,43,0
5,하남풍산,5,24,0,0,1,1,1,36,0
5,하남시청,4,28,0,0,0,0,1,43,0
5,하남검단산,4,20,0,0,1,0,1,37,0
6,응암,2,4,0,0,1,1,1,14,0
6,역촌,2,6,0,0,0,1,1,13,0
6,불광,3,12,0,2,1,0,1,31,0
6,독바위,2,8,0,0,1,1,1,13,0
6,연신내,2,6,0,0,1,1,1,5,0
6,구산,1,2,0,1,1,0,1,11,0
6,새절,2,4,0,1,0,1,1,16,0
6,증산,3,6,0,0,0,1,1,17,0
6,디지털미디어시티,3,8,0,3,0,0,2,21,0
6,월드컵경기장,3,12,0,0,1,1,2,24,0
6,마포구청,4,12,0,4,0,0,2,27,0
6,망원,2,2,0,0,0,1,1,13,0
6,합정,3,12,0,1,1,1,1,29,0
6,상수,3,10,0,0,0,0,1,13,0
6,광흥창,3,9,0,1,0,1,1,23,0
6,대흥,2,6,0,1,0,0,1,14,0
6,공덕,5,6,0,1,0,1,1,31,1
6,효창공원앞,2,6,0,1,0,0,1,12,0
6,삼각지,5,4,8,2,0,0,1,19,1
6,녹사평,3,13,0,0,1,0,1,17,0
6,이태원,2,4,0,0,0,0,1,16,0
6,한강진,3,4,0,0,0,1,1,19,0
6,버티고개,5,4,0,0,2,0,1,21,0
6,약수,4,11,0,0,0,1,1,27,1
6,청구,5,10,0,0,0,0,1,15,0
6,신당,1,14,2,5,0,0,1,18,0
6,동묘앞,2,12,0,2,0,0,1,22,0
6,창신,3,3,0,0,1,0,1,13,0
6,보문,1,2,0,0,0,1,1,13,0
6,안암,3,6,0,0,0,1,2,16,0
6,고려대,4,12,0,0,1,1,1,20,0
6,월곡,3,12,0,1,1,1,1,19,0
6,상월곡,1,6,0,2,0,0,1,21,0
6,돌곶이,3,4,0,0,0,1,1,18,0
6,석계,4,14,2,2,0,0,2,32,0
6,태릉입구,4,15,0,0,0,1,1,27,0
6,화랑대,4,4,0,0,1,1,1,18,0
6,봉화산,2,4,0,2,0,1,1,15,0
6,신내,1,2,0,0,0,0,1,4,0
7,장암,2,0,0,0,0,0,2,5,0
7,도봉산,5,0,0,0,1,1,1,24,1
7,수락산,1,6,0,2,1,1,1,19,0
7,마들,4,8,0,1,1,1,1,19,0
7,노원,4,15,0,0,1,1,1,22,1
7,중계,3,10,0,0,1,1,1,20,0
7,하계,3,6,0,0,1,1,1,17,0
7,공릉,3,6,0,0,2,0,1,20,0
7,태릉입구,2,8,0,0,1,0,1,22,0
7,먹골,3,6,0,0,1,1,1,21,0
7,중화,3,6,0,0,1,1,1,20,0
7,상봉,5,6,0,0,1,0,1,26,1
7,면목,3,6,0,0,1,1,1,18,0
7,사가정,3,10,0,0,1,1,1,18,0
7,용마산,3,8,0,0,1,1,1,22,0
7,중곡,3,4,0,0,1,1,0,17,0
7,군자,1,6,0,0,0,1,1,16,0
7,어린이대공원,4,6,0,0,1,1,1,27,0
7,건대입구,2,11,0,3,1,0,1,21,1
7,뚝섬유원지,3,4,0,0,0,0,1,23,0
7,청담,2,16,0,2,0,0,1,23,0
7,강남구청,2,7,0,1,1,0,1,22,0
7,학동,3,10,0,0,0,0,2,25,0
7,논현,3,19,0,1,0,1,1,24,0
7,반포,4,6,0,1,0,1,1,21,0
7,고속터미널,2,21,0,4,1,1,1,23,1
7,내방,5,10,0,0,0,1,2,18,0
7,이수,3,23,2,4,1,1,1,33,0
7,남성,4,14,0,0,1,0,1,17,0
